"pmid","title","abstract","journal","authors","mesh","pub_date"
34757963,"Anesthesia in Total Shoulder Arthroplasty: A Systematic Review and Meta-Analysis.","For shoulder arthroplasty, regional anesthesia is safer when compared with general anesthesia. There is insufficient evidence to demonstrate the superiority of regional anesthesia with respect to pulmonary complications and hospital length of stay. Infiltration of the shoulder with local anesthetics offers no additional benefits compared with single-shot or continuous brachial plexus blocks for shoulder arthroplasty. There is high-quality evidence (Level I) demonstrating lower pain scores and lower perioperative opioid requirements after a continuous peripheral nerve block compared with a single-shot nerve block. However, catheter dislodgment and logistical issues with catheter insertion are impediments to the widespread usage of a continuous nerve block with an indwelling catheter. Liposomal bupivacaine is comparable with non-liposomal local anesthetic agents with respect to pain relief, the opioid-sparing effect, and adverse effects in the first 48 hours after total shoulder arthroplasty. Perioperative dexamethasone administration improves postoperative pain control, decreases perioperative opioid requirements, and reduces postoperative nausea.","JBJS reviews","{""Boin, Michael A"",""Mehta, Devan"",""Dankert, John"",""Umeh, Uchenna O"",""Zuckerman, Joseph D"",""Virk, Mandeep S""}","{N/A}","2021-11"
34757965,"Myocarditis After Administration of Messenger Ribonucleic Acid-1273 Vaccine.","N/A","American journal of therapeutics","{""Soos, Michael P"",""Ghareeb, George S"",""George, Varun"",""Rahman, Minhazur"",""Holmes, Katelyn"",""Madala, Mohan C"",""Sulaiman, Abdulbaset M"",""Burke, Peter T"",""Kichloo, Asim"",""Kanjwal, Khalil""}","{N/A}","2021-9"
34757966,"Romiplostim for SARS-CoV-2 Vaccine Induced Immune Thrombocytopenia.","N/A","American journal of therapeutics","{""Abuhelwa, Ziad"",""Ning, Ying"",""Abdulsattar, Waleed"",""Ghazaleh, Sami"",""Kahlon, Navkirat"",""Elsayed, Ahmed""}","{COVID-19,""COVID-19 Vaccines"",Humans,""Purpura, Thrombocytopenic, Idiopathic"",""Receptors, Fc"",""Recombinant Fusion Proteins"",SARS-CoV-2,Thrombopoietin}","2021-9"
34757964,"Pharmacological Management of Myasthenia Gravis: A Century of Expert Opinions in Cecil Textbook of Medicine.","Advances in drug therapy for myasthenia gravis have had a significant impact on the quality of life and work potential of a substantial majority of affected persons and has contributed to a remarkable decrease in the frequency and severity of complications, hospitalizations, and mortality. What are the milestones of the changes in the expert approach to the pharmacological management of myasthenia in the past century? To determine the changes in the experts' approach to the management of myasthenia gravis, as presented in a widely used textbook in the United States. The chapters presenting the management of myasthenia gravis in the 26 editions of Cecil Textbook of Medicine published from 1927 to 2020. Adequate feeding, absolute rest in bed, and ""tonics"" were the only interventions recommended for the care of patients with myasthenia gravis in 1927. Ephedrine and glycine were used in the early 1930s. Treatment with the anticholinesterases physostigmine and neostigmine was recommended in 1937, 3 years after Mary Walker discovered it in the United Kingdom. Immunosuppressant pharmacological interventions with prednisone and azathioprine have been considered the standard since 1975, and intravenous immune globulin was added to usual care in 1996. The newer immunosuppressant drugs mycophenolate, cyclosporine, and tacrolimus have expanded the arsenal since 2008, and the monoclonal antibodies rituximab and eculizumab have been mentioned in the textbooks published in 2012-2020. The first randomized clinical trial of drug therapy for myasthenia gravis was published in 1987. The pharmacological management of myasthenia gravis was revolutionized by the epiphany of an astute clinician in the 1930s. Immunosuppressant treatment was a logical step once the autoimmune nature of the condition was established. The major therapeutic advances highlight the values of empiricism and persistent attention to detail in treating relatively rare chronic disorders.","American journal of therapeutics","{""Manu, Peter"",""Rogozea, Liliana M"",""Roman-Filip, Corina""}","{""Expert Testimony"",Humans,""Myasthenia Gravis"",Prednisone,""Quality of Life"",Rituximab}","0-0"
34757967,"Treatment Challenges of ST-Segment Elevation Myocardial Infarction Within the Constraint of COVID-19 Pandemic.","N/A","American journal of therapeutics","{""Shereef, Hammam"",""Yassin, Ahmed S"",""Subahi, Ahmed"",""Ali, Omar""}","{COVID-19,Humans,Pandemics,""Percutaneous Coronary Intervention"",SARS-CoV-2,""ST Elevation Myocardial Infarction""}","0-0"
34757968,"Neoadjuvant Chemotherapy in Synchronous Bilateral Breast Cancer With Different HER2 Types.","N/A","American journal of therapeutics","{""Ma, Teng"",""Mao, Yan"",""Wang, Hai-Bo""}","{N/A}","0-0"
34758006,"Can small-sided games assess the training-induced aerobic adaptations in elite football players?","To investigate whether or not SSGs could be used to evaluate the aerobic fitness status and the longitudinal training-induced adaptations in football players. Additionally, the capacity of SSGs to recreate the official match demands was investigated. Twenty-five elite football players were monitored. Total distance (TD), high-speed running, very high-speed running, sprint and accelerations plus decelerations distance were measured during 20 SSGs formats and 25 official-matches; in SSGs, average heart rate was also collected. During submaximal Yo-Yo test, heart rate at peak exercise, heart rate post-60s recovery and rate of perceived exertion were collected. Coefficient of variation, interclass correlation-coefficient and correlation-coefficient analysis were used to calculate validity, reliability, construct validity and, internal and external responsiveness of SSGs demands. In SSGs, a small variability (~6.0%) with moderate reliability (~0.542 to ~0.663) was found in TD and heart rate, while a high variability (~20.8% to ~60.3%) with poor to moderate reliability (~0.358 to ~0.605) was observed in the other metrics; in submaximal Yo-Yo, heart rate showed small variability (~3.7%) with good reliability (~0.933 to ~0.916). The SSGs demands showed poor internal and external responsiveness (p>0.05) to the training-induced aerobic adaptations as assessed by submaximal Yo-Yo. The construct validity of SSGs showed overall large to very large correlations (r=0.53 to 0.90, p<0.05) between SSGs and official match demands across the season. SSGs should not replace standardized field tests to detect the training-induced aerobic adaptations. However, SSGs could be confidently used to recreate specific contextual factors in elite football players.","The Journal of sports medicine and physical fitness","{""Riboli, Andrea"",""Dellal, Alexandre"",""Esposito, Fabio"",""Coratella, Giuseppe""}","{N/A}","2021-11"
34760993,"Giant hepatic neuroendocrine tumor.","N/A","Hepatobiliary surgery and nutrition","{""Kim, Seong Hoon"",""Park, Jangho""}","{N/A}","2021-10"
34757971,"COVID-19 Vaccine Hesitancy Among PLWH in South India: Implications for Vaccination Campaigns.","The global effort to end the Severe Acute Respiratory Syndrome - Coronavirus 2 pandemic will depend on our ability to achieve a high uptake of the highly efficacious vaccines in all countries. India recently experienced an unprecedented transmission surge, likely fueled by a premature reopening, the highly transmissible delta variant, and low vaccination rates. Indian media have reported high degrees of vaccine hesitancy, which could interfere with efforts to prevent future surges, making it crucial to better understand the reasons for such reluctance in vulnerable populations, such as people living with HIV. We conducted telephone interviews with 438 people living with HIV who were participants in a longitudinal cohort, designed to examine and validate novel antiretroviral therapy ART adherence measures. Interviews were conducted in January and February 2021 and covered COVID-19-related questions on confidence in vaccine safety and efficacy, worries of vaccine side effects, trust in COVID-19 information from specific sources, and intent to get vaccinated. Over one-third of participants (38.4%, n = 168) met our definition of ""vaccine hesitant"" by reporting being either unlikely to get vaccinated at all or wanting to wait. Vaccine hesitancy was associated with lack of confidence in vaccine safety, concerns about side effects and efficacy, and distrust in common sources of vaccine-related information. These results highlight several challenges for vaccination efforts. Campaigns may benefit from using trusted sources, including antiretroviral therapy center staff, providing clear information about safety and efficacy and emphasizing the role of vaccines in preventing severe disease, hospitalizations and death, and the reduction of forward transmission to unvaccinated household members.","Journal of acquired immune deficiency syndromes (1999)","{""Ekstrand, Maria L"",""Heylen, Elsa"",""Gandhi, Monica"",""Steward, Wayne T"",""Pereira, Matilda"",""Srinivasan, Krishnamachari""}","{N/A}","2021-12"
34757969,"Prophylactic Administration of Recombinant Human Thrombopoietin in the Secondary Prevention of Thrombocytopenia Induced by XELOX Adjuvant Chemotherapy in Patients With Stage III Colorectal Cancer: Erratum.","N/A","American journal of therapeutics","{N/A}","{N/A}","0-0"
34757970,"Review of the Emerging Evidence Demonstrating the Efficacy of Ivermectin in the Prophylaxis and Treatment of COVID-19: Erratum.","N/A","American journal of therapeutics","{N/A}","{N/A}","0-0"
34757972,"Prevalence of COVID-19-Related Social Disruptions and Effects on Psychosocial Health in a Mixed-Serostatus Cohort of Men and Women.","This study describes prevention behavior and psychosocial health among people living with HIV (PLHIV) and HIV-negative people during the early wave of the coronavirus disease 2019 (COVID-19) pandemic in the United States. We assessed differences by HIV status and associations between social disruption and psychosocial health. A cross-sectional telephone/videoconference administered survey of 3411 PLHIV and HIV-negative participants in the Multicenter AIDS Cohort Study/WIHS Combined Cohort Study (MWCCS). An instrument combining new and validated measures was developed to assess COVID-19 prevention efforts, social disruptions (loss of employment, childcare, health insurance, and financial supports), experiences of abuse, and psychosocial health. Interviews were performed between April and June 2020. Associations between social disruptions and psychosocial health were explored using multivariable logistic regression, adjusting for sociodemographics and HIV status. Almost all (97.4%) participants reported COVID-19 prevention behavior; 40.1% participants reported social disruptions, and 34.3% reported health care appointment disruption. Men living with HIV were more likely than HIV-negative men to experience social disruptions (40.6% vs. 32.9%; P < 0.01), whereas HIV-negative women were more likely than women with HIV to experience social disruptions (51.1% vs. 39.8%, P < 0.001). Participants who experienced 2 social disruptions had significantly higher odds of depression symptoms [aOR = 1.32; 95% confidence interval (CI): 1.12 to 1.56], anxiety (aOR = 1.63; 95% CI: 1.17 to 2.27), and social support dissatisfaction (aOR = 1.81; 95% CI: 1.26 to 2.60). This study builds on emerging literature demonstrating the psychosocial health impact related to the COVID-19 pandemic by providing context specific to PLHIV. The ongoing pandemic requires structural and social interventions to decrease social disruption and address psychosocial health needs among the most vulnerable populations.","Journal of acquired immune deficiency syndromes (1999)","{""Friedman, M Reuel"",""Kempf, Mirjam-Colette"",""Benning, Lorie"",""Adimora, Adaora A"",""Aouizerat, Bradley"",""Cohen, Mardge H"",""Hatfield, Queen"",""Merenstein, Dan"",""Mimiaga, Matthew J"",""Plankey, Michael W"",""Sharma, Anjali"",""Sheth, Anandi N"",""Ramirez, Catalina"",""Stosor, Valentina"",""Wagner, Marc C E"",""Wilson, Tracey E"",""D Souza, Gypsyamber"",""Weiss, Deborah Jones""}","{N/A}","2021-12"
34757973,"Impact of the COVID-19 Pandemic on Use of HIV Care, Antiretroviral Therapy Adherence, and Viral Suppression: An Observational Cohort Study From Uganda.","Recent studies project thousands of additional AIDS-related deaths because of COVID-19-related disruptions in HIV care. However, the extent to which disruptions in care have materialized since the start of the pandemic is not well understood. We use electronic health records to investigate how the pandemic has affected clinic visits, patients' antiretroviral therapy (ART) supply, and viral suppression for a cohort of 14,632 HIV clients from a large HIV clinic in Kampala, Uganda. We complement this with an analysis of electronically measured longitudinal ART adherence data from a subcohort of 324 clients. Clinic visits decreased by more than 50% after a national lockdown started. The risk of patients running out of ART on a given day increased from 5% before the lockdown to 25% 3 months later (Relative Risk Ratio of 5.11, 95% confidence interval: 4.99 to 5.24) and remained higher than prelockdown 6 months later at 13% (Relative Risk Ratio of 2.60; 95% confidence interval: 2.52 to 2.70). There was no statistically significant change in electronically measured adherence or viral suppression. We document substantial gaps in HIV care after the start of the COVID-19 pandemic in Uganda. This suggests that measures to improve access should be explored as the pandemic persists. However, ART adherence was unaffected for the subcohort for whom we measured electronic adherence. This suggests that some clients may have stockpiles of ART tablets from previous prescriptions that allowed them to keep taking their medication even when they could not visit the clinic for ART refills.","Journal of acquired immune deficiency syndromes (1999)","{""Wagner, Zachary"",""Mukasa, Barbara"",""Nakakande, Josephine"",""Stecher, Chad"",""Saya, Uzaib"",""Linnemayr, Sebastian""}","{N/A}","2021-12"
34757974,"Brief Report: HCV Universal Test-and-Treat With Direct Acting Antivirals for Prisoners With or Without HIV: A Prison Health Care Workers-Led Model for HCV Microelimination in Thailand.","This study investigated the sustained virologic responses (SVRs) among prisoners with hepatitis C virus (HCV) using universal test-and-treat approach by prison health care workers in a central male prison in Thailand. A universal HCV screening was conducted in a maximum-security central prison (Klong Prem Central Prison) in Thailand. HCV RNA-confirmed prisoners were treated with generic sofosbuvir/velpatasvir by prison health care workers, regardless of their HCV genotypes and duration of prison sentences. We evaluated the SVR rates at 12 weeks after completing direct acting antivirals (DAA) treatment. A total of 68 prisoners with detectable HCV RNA received DAA treatment. The median age and duration of prison sentences were 44 years (interquartile range, 41-53) and 25 (interquartile range, 19-33) years, respectively. Twenty-five percentage of the participants was coinfected with HIV, and 6% of the participants was coinfected with hepatitis B virus. Among all prisoners who received DAA treatment, 20 (29%) had genotype (GT)-1a, 3 (4%) had GT-1b, 22 (32%) had GT-3a, 3 (4%) had GT-3b, and 7 (10%) had GT-6. Overall, improvements in liver biomarkers were seen after HCV treatment, and SVR was achieved in 97% of the participants with per-protocol analysis and in 90% of the participants with intention-to-treat analysis. HCV treatment using DAA among prisoners through universal test-and-treat approach led by prison health care workers is highly effective and safe, and such model can potentially help to facilitate the goals of HCV microelimination among prisoners in Thailand.","Journal of acquired immune deficiency syndromes (1999)","{""Supanan, Ruamthip"",""Han, Win Min"",""Harnpariphan, Weerakit"",""Ueaphongsukkit, Thornthun"",""Ubolyam, Sasiwimol"",""Sophonphan, Jiratchaya"",""Tangkijvanich, Pisit"",""Thanprasertsuk, Sombat"",""Avihingsanon, Anchalee"","", ""}","{N/A}","2021-12"
34757975,"Predictors of Transition to Frailty in Middle-Aged and Older People With HIV: A Prospective Cohort Study.","People with HIV (PWH) have increased frailty risk at younger ages compared with the general population. Multimorbidity is associated with frailty, yet effects of specific comorbidities on transition to frailty in PWH are unknown. Prospective study of 219 PWH age 45 years or older in the National NeuroAIDS Tissue Consortium. Frailty status was categorized using Fried frailty phenotype criteria. Comorbidities [bone disease, cardiovascular disease, cerebrovascular disease, liver disease, renal disease, diabetes, chronic obstructive pulmonary disease (COPD), hypertension, obesity, cancers, neuropsychiatric conditions] were assessed from longitudinal data. Associations between baseline comorbidities and transition to frailty within 30 months were analyzed using Kaplan-Meier and Cox regression models. Grip strength was assessed using mixed-effects models. At baseline, the median age was 61 years, 73% were male 98% were on antiretroviral therapy, 29% had 3 comorbidities, 27% were robust, and 73% were pre-frail. Cerebrovascular disease, diabetes, and COPD were independent predictors of transition to frailty within 30 months in models adjusted for age, sex, and multimorbidity (3 additional comorbidities) [hazard ratios (95% confidence intervals) 2.52 (1.29 to 4.93), 2.31 (1.12 to 4.76), and 1.82 (0.95 to 3.48), respectively]. Furthermore, cerebrovascular disease, diabetes, COPD, or liver disease co-occurring with multimorbidity was associated with substantially increased frailty hazards compared with multimorbidity alone (hazard ratios 4.75-7.46). Cerebrovascular disease was associated with decreased baseline grip strength (P = 0.0001), whereas multimorbidity, diabetes, and COPD were associated with declining grip strength (P < 0.10). In older PWH, cerebrovascular disease, diabetes, COPD, or liver disease co-occurring with multimorbidity is associated with substantially increased risk of becoming frail within 30 months. Interventions targeting these comorbidities may ameliorate frailty and age-related functional decline in PWH.","Journal of acquired immune deficiency syndromes (1999)","{""Lorenz, David R"",""Mukerji, Shibani S"",""Misra, Vikas"",""Uno, Hajime"",""Gelman, Benjamin B"",""Moore, David J"",""Singer, Elyse J"",""Morgello, Susan"",""Gabuzda, Dana""}","{N/A}","2021-12"
34757976,"""Zoom Dysmorphia"": A New Diagnosis in the COVID-19 Pandemic Era?","N/A","Plastic and reconstructive surgery","{""Gasteratos, Konstantinos"",""Spyropoulou, Georgia-Alexandra"",""Suess, Larry""}","{N/A}","2021-12"
34757977,"The Subacromial Bursa: Current Concepts Review.","The subacromial bursa is a distinct anatomic structure with distinct histologic features; it plays a critical role in the symptoms of the painful shoulder and in the local healing capacity of the rotator cuff tendon. Treatment of pain from bursitis of the subacromial bursa largely involves nonoperative interventions; however, operative treatment may be considered in certain instances. Preservation of the subacromial bursa should occur whenever possible given its intrinsic trophic and pluripotent factors, which have been shown to play important roles in rotator cuff tendon pathology.","JBJS reviews","{""Lanham, Nathan S"",""Swindell, Hasani W"",""Levine, William N""}","{N/A}","2021-11"
34757978,"Perioperative Management of Hepatitis C in Patients Undergoing Total Joint Arthroplasty.","A small yet growing subset of total joint arthroplasty (TJA) candidates are diagnosed with the hepatitis C virus (HCV), which is a known risk factor for periprosthetic joint infections. Given the poor outcomes associated with TJA infection, we recommend that candidates with HCV receive treatment prior to elective TJA. Interferon and ribavirin have historically been the standard treatment regimen for the management of HCV; however, adverse events and an inconsistent viral response have limited the efficacy of these therapies. The advent of direct-acting antivirals has resolved many of the issues associated with interferon and ribavirin regimens. Despite the success of direct-acting antivirals, there are still barriers to seeking treatment for TJA candidates with HCV. Many patients are faced with financial burdens, as insurance coverage of direct-acting antiviral therapies is inconsistent and varies by the patient's state of residence and specific treatment regimen. TJA candidates with HCV present health-care providers with a unique set of challenges, often encompassing economic, psychosocial, and complex medical concerns. Multidisciplinary care teams can be beneficial when caring for and optimizing this patient cohort. Management of HCV prior to elective TJA is associated with higher up-front costs but ultimately reduces long-term patient morbidity as well as associated direct and indirect health-care expenditures.","JBJS reviews","{""Ross, Phillip E"",""Young, Joseph R"",""O Connor, Casey M"",""Anoushiravani, Afshin A"",""DiCaprio, Matthew R""}","{N/A}","2021-11"
34757979,"Team Approach: Treatment of Shoulder Instability in Athletes.","Shoulder instability is a complex problem with a high rate of recurrence in athletes. Treatment of a first-time subluxation or dislocation event is controversial and depends on patient-specific factors as well as the identified pathology. Athletic trainers and physical therapists are an integral part of the treatment team of an in-season athlete who has experienced a shoulder instability event. Through comprehensive physiological assessments, these providers can effectively suggest modifications to the patient's training regimen as well as an appropriate rehabilitation program. Surgical intervention for shoulder stabilization should use an individualized approach for technique and timing. A team-based approach is necessary to optimize the care of this high-demand, high-risk population.","JBJS reviews","{""Wolf, Brian R"",""Tranovich, Meaghan A"",""Marcussen, Britt"",""Powell, Kammy J"",""Fleming, Jeffrey A"",""Shaffer, Michael A""}","{N/A}","2021-11"
34757980,"Social Media and Its Use in Orthopaedic Surgery Resident Education and Training.","The use of social media by health-care professionals and medical educators has been increasing over the past decade. Online social networks, professional networks, blogs, microblogs, forums, podcasts, and video-sharing platforms can be used effectively to communicate and engage with, as well as learn from, other residents and attending physicians worldwide. Social media platforms and other web-based applications can serve as powerful educational tools to enhance orthopaedic resident learning, collaboration, teaching, and case discussion.","JBJS reviews","{""Cole, Wendell W"",""Perez-Chaumont, Andre"",""Miskimin, Cadence"",""Mulcahey, Mary K""}","{N/A}","2021-11"
34758007,"Mid-term impact of mild-moderate COVID-19 on cardiorespiratory fitness in élite athletes.","Mid- and long-term sequelae of COVID-19 on cardiorespiratory fitness are unknown. Aim of the study was to assess the mid-term impact of mild-moderate COVID-19 on cardiorespiratory fitness evaluated by cardiopulmonary exercise testing (CPET) in lite athletes. 13 elite cross-country skiers with previous mild-moderate COVID-19 symptoms underwent CPET before resuming seasonal training (COVID athletes). 13 lite detrained cross-country skiers, matched for principal confounding factors, were taken as controls (control group). Resting peripheral oxygen saturation, pulmonary function test, echocardiography, bioelectrical impedance analysis and CPET (modified XELG2, Woodway, USA) were performed in all participants. Median recovery time in COVID athletes was 34 days (IQR 33-38 days). COVID athletes reached earlier the onset of the aerobic threshold (4'48"" vs 6'28"", R2=0.15, F=4.37, p<0.05)than controls, whereas the time to anaerobic threshold and maximal efforts did not significantly differ between groups. Oxygen consumption was lower at the aerobic threshold in COVID athletes than controls (VO2/kg 28.6 mL/min vs. 38.9 mL/min, R2=0.39, F=15.34, p<0.01), whereas no significant difference between groups was found both at the aerobic threshold and at peak exercise (all p<0.05). Findings from resting echocardiography and pulmonary function test were similar between the two groups. lite cross-country athletes, previously affected by mild-moderate COVID-19, reached earlier the aerobic threshold than controls, whereas the remaining CPET parameters did not differ between groups. Such changes were not associated with any detectable difference in resting pulmonary and cardiac examination. Subjects affected by mild-moderate COVID-19 may require a longer time course of re-adaptation to aerobic exercise.","The Journal of sports medicine and physical fitness","{""Anastasio, Fabio"",""LA Macchia, Tommaso"",""Rossi, Giulio"",""D Abbondanza, Marco"",""Curcio, Rosa"",""Vaudo, Gaetano"",""Pucci, Giacomo""}","{N/A}","2021-11"
34757981,"Outpatient Shoulder Arthroplasty Patient Selection, Patient Experience, and Cost Analyses: A Systematic Review.","The utilization of outpatient shoulder arthroplasty has been increasing. With increasing pressure to reduce costs, further underscored by the coronavirus (COVID-19) pandemic, many health-care organizations will move toward outpatient interventions to conserve inpatient resources. Although abundant literature has shown the advantages of outpatient total hip arthroplasty (THA) and total knee arthroplasty (TKA), there is a relative paucity describing outpatient shoulder arthroplasty. Thus, the purpose of this study was to summarize the peer-reviewed literature of outpatient shoulder arthroplasty with particular attention to patient selection, patient outcomes, and cost benefits. The PubMed, Cumulative Index to Nursing and Allied Health Literature (CINAHL), and Embase databases were queried according to Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines. All articles on outpatient shoulder arthroplasty were included. Data on patient selection, patient outcomes, and cost analyses were recorded. Patient outcomes, including complications, reoperations, and readmissions, were analyzed by weighted average. Twenty-three articles were included for analysis. There were 3 review articles and 20 studies with Level-III or IV evidence as assessed per The Journal of Bone & Joint Surgery Level of Evidence criteria. Patient selection was most often predicated on age <70 years, body mass index (BMI) <35 kg/m2, absence of active cardiopulmonary comorbidities, and presence of home support. Complications and readmissions were not common and either improved or were equivalent to those of inpatient shoulder arthroplasty. Patient satisfaction was high in studies of short-term and intermediate-term follow-up. The proposed cost benefit ranged from $747 to $53,202 with outpatient shoulder arthroplasty. The published literature to date supports outpatient shoulder arthroplasty as an effective, safe, and cost-reducing intervention with proper patient selection. Therapeutic Level IV. See Instructions for Authors for a complete description of levels of evidence.","JBJS reviews","{""O Donnell, Evan A"",""Fury, Matthew S"",""Maier, Stephen P"",""Bernstein, David N"",""Carrier, Robert E"",""Warner, Jon J P""}","{Aged,""Arthroplasty, Replacement, Shoulder"",COVID-19,Humans,Outpatients,""Patient Outcome Assessment"",""Patient Selection"",SARS-CoV-2}","2021-11"
34757983,"Congenital Myenteric Hypoganglionosis: Erratum.","N/A","The American journal of surgical pathology","{N/A}","{N/A}","2021-12"
34757982,"Impact of Next-generation Sequencing on Interobserver Agreement and Diagnosis of Spitzoid Neoplasms.","Atypical Spitzoid melanocytic tumors are diagnostically challenging. Many studies have suggested various genomic markers to improve classification and prognostication. We aimed to assess whether next-generation sequencing studies using the Tempus xO assay assessing mutations in 1711 cancer-related genes and performing whole transcriptome mRNA sequencing for structural alterations could improve diagnostic agreement and accuracy in assessing neoplasms with Spitzoid histologic features. Twenty expert pathologists were asked to review 70 consultation level cases with Spitzoid features, once with limited clinical information and again with additional genomic information. There was an improvement in overall agreement with additional genomic information. Most significantly, there was increase in agreement of the diagnosis of conventional melanoma from moderate (=0.470, SE=0.0105) to substantial (=0.645, SE=0.0143) as measured by an average Cohen . Clinical follow-up was available in all 70 cases which substantiated that the improved agreement was clinically significant. Among 3 patients with distant metastatic disease, there was a highly significant increase in diagnostic recognition of the cases as conventional melanoma with genomics (P<0.005). In one case, none of 20 pathologists recognized a tumor with BRAF and TERT promoter mutations associated with fatal outcome as a conventional melanoma when only limited clinical information was provided, whereas 60% of pathologists correctly diagnosed this case when genomic information was also available. There was also a significant improvement in agreement of which lesions should be classified in the Spitz category/WHO Pathway from an average Cohen  of 0.360 (SE=0.00921) to 0.607 (SE=0.0232) with genomics.","The American journal of surgical pathology","{""Benton, Sarah"",""Zhao, Jeffrey"",""Zhang, Bin"",""Bahrami, Armita"",""Barnhill, Raymond L"",""Busam, Klaus"",""Cerroni, Lorenzo"",""Cook, Martin G"",""de la Fouchardière, Arnaud"",""Elder, David E"",""Johansson, Iva"",""Landman, Gilles"",""Lazar, Alexander"",""LeBoit, Philip"",""Lowe, Lori"",""Massi, Daniela"",""Duncan, Lyn M"",""Messina, Jane"",""Mihic-Probst, Daniela"",""Mihm, Martin C"",""Piepkorn, Michael W"",""Schmidt, Birgitta"",""Scolyer, Richard A"",""Shea, Christopher R"",""Tetzlaff, Michael T"",""Tron, Victor A"",""Xu, Xiaowei"",""Yeh, Iwei"",""Yun, Sook Jung"",""Zembowicz, Artur"",""Gerami, Pedram""}","{Adult,""Biomarkers, Tumor"",Biopsy,""DNA Mutational Analysis"",Female,""High-Throughput Nucleotide Sequencing"",Humans,Male,""Middle Aged"",Mutation,""Nevus, Epithelioid and Spindle Cell"",""Observer Variation"",""Predictive Value of Tests"",""Reproducibility of Results"",""Skin Neoplasms""}","2021-12"
34757986,"Addressing Health Disparities in HIV: Introduction to the Special Issue.","Racial and ethnic minority, sexual and gender minority, and low-income people have historically experienced poorer health outcomes and poorer social conditions that lead to poorer health outcomes (social determinants of health) than nonminority people in the United States. To eliminate these health disparities, intentional and targeted interventions that address the needs and preferences of diverse populations are needed. To address disparities, the California HIV/AIDS Research Program focused their funding resources tightly on communities facing elevated HIV incidence or prevalence. This special issue describes interventions that aimed to increase linkage to and engagement in HIV-specific prevention or medical care, each uniquely tailored to the needs of an identified California population with disparate HIV-related health outcomes and each for implementation at a specific stage of the HIV prevention and care continuum.","Journal of acquired immune deficiency syndromes (1999)","{""Lightfoot, Marguerita"",""Milburn, Norweeta"",""Loeb Stanga, Lisa""}","{N/A}","2021-12"
34757987,"We are Family: A Feasibility and Acceptability Study of an HIV Prevention Intervention With the House Ball and Gay Family Communities.","Black and Latinx sexual minority youth are disproportionately affected by HIV. The House Ball and gay family communities encompass sexual and ethnic minority youth who form chosen families that promote protective HIV-related health behaviors. We conducted a small-scale trial of the We Are Family intervention, leveraging these existing social dynamics to address HIV. From September 2018 to September 2019, we enrolled N = 118 for baseline and 6-month follow-up assessments. Eligible participants were 18 years or older, San Francisco Bay Area residents, members of a house or gay family or ball attendees in the past year, smartphone users, and sexually active. The intervention included one 2-hour in-person group session, community-level events, a mobile health app, and a dedicated service provider. Ninety-seven percent of our participants were people of color, 94% were retained through follow-up. 73% attended at least 1 group session, 100% used the mobile health app, and 56% attended a community-level event. Modest changes were observed baseline to follow-up: among all participants, any condomless anal intercourse past 3 months (74.6%-66.7%, P = 0.064); among HIV-negative participants (N = 82) HIV testing past 6 months (80.7%-87.2%, P = 0.166); among HIV-positive participants (N = 34) receiving HIV primary care past 6 months (64.5%-78.8%, P = 0.139), and adherent to ART past 30 days (22.6%-28.1%, P = 0.712). 86% would be willing to refer a friend to the app, and 65% found the app to be personally relevant. We Are Family reaches and retains its target population, is feasible, acceptable, and shows promise for improving HIV-related health behavior.","Journal of acquired immune deficiency syndromes (1999)","{""Arnold, Emily A"",""Saberi, Parya"",""Wong, Jeffrey O"",""Pollack, Lance M"",""Neilands, Torsten B"",""Benjamin, Michael"",""Lockett, Gloria"",""Kegeles, Susan M""}","{N/A}","2021-12"
34757988,"Structural Syndemics and Antiretroviral Medication Adherence Among Black Sexual Minority Men Living With HIV.","Although HIV antiretroviral treatment (ART) access and uptake have increased among racial/ethnic minority individuals, lower rates of ART adherence and viral suppression persist, especially among Black men who have sex with men (BMSM) compared with their White counterparts. Black men who have sex with men living with HIV (BMSM+) residing in Los Angeles County (N = 124) were recruited in-person (eg, clinic) and online (eg, social networking apps). Participants completed a cross-sectional survey measuring demographic characteristics, structural syndemics (poverty, criminal justice involvement, and housing instability), and psychosocial syndemics (mental health and substance use). A text message survey assessed missed doses of ART over the past week. Zero-inflated Poisson regression models were used to evaluate variables associated with the number of missed doses of ART. On average, participants missed 1.30 doses of ART (SD = 2.09) and reported structural syndemics: poverty (56.1%), criminal justice involvement (36.6%), housing instability (26.3%), and psychosocial syndemics: childhood sexual abuse (51.8%), intimate partner violence (16.9%), depression (39%), and problem alcohol use (15.5%). After controlling for employment, age, education, and psychosocial syndemics, participants with a one-point increase in structural syndemic indicators were found to be 1.63 times more likely to have missed a dose of ART. Structural syndemic were associated with ART nonadherence among BMSM+ after adjusting for demographic and psychosocial factors. HIV treatment interventions that incorporate financial incentives, legal support, and housing may help improve ART adherence among BMSM+. Findings suggest that key priorities to ending the HIV epidemic must include structural interventions that alleviate poverty, eliminate disproportionate policing and criminalization, and end homelessness.","Journal of acquired immune deficiency syndromes (1999)","{""Holloway, Ian W"",""Beltran, Raiza"",""Shah, Saanchi V"",""Cordero, Luisita"",""Garth, Gerald"",""Smith, Terry"",""Wilson, Bianca D M"",""Ochoa, Ayako M""}","{N/A}","2021-12"
